id,title,summary,publication_date,source,url,category
45,End of an era: The big change coming to European travel in November,"Editor’s Note: Sign up forUnlocking the World, CNN Travel’s weekly newsletter. Get the latest news in aviation, food and drink, where to stay and other travel developments.",2024-08-31T06:30:19.893Z,CNN,https://www.cnn.com/2024/08/31/travel/travel-news-eu-passport-best-connected-airport/index.html,Travel
46,"More than 10,000 US hotel workers strike during Labor Day weekend","More than 10,000 hotel workers at 24 hotels stretching from Boston to the West Coast to Hawaii went on strike early Sunday morning, disrupting travel during a busy Labor Day weekend. The hotels are reportedly still open but guests will deal with a skeleton staff unable to provide full services.",2024-09-01T15:17:02.931Z,CNN,https://www.cnn.com/2024/09/01/business/thousands-of-us-hotel-workers-strike-as-contract-negotiations-stall/index.html,Travel
47,Latest inflation data gives a ‘bright green light’ for a rate cut,"The Federal Reserve’s go-to inflation gauge held at 2.5% in July, Commerce Department data showed Friday. That’s better than anticipated and shows progress — but still underscores the bumpy process for inflation’s descent.",2024-08-30T12:33:19.110Z,CNN,https://www.cnn.com/2024/08/30/economy/pce-inflation-spending-fed-july/index.html,Other
48,Lego plans to ditch oil in its bricks for pricier renewable plastic as profits surge,"Toymaker Lego said Wednesday it is on track to replace the fossil fuels used in making its signature bricks with more expensive renewable and recycled plastic, as sales and profits surged. The Danish company reported that profit for the first half of the year jumped 26% to 8.1 billion Danish krone ($1.2 billion).",2024-08-28T10:28:49.092Z,CNN,https://www.cnn.com/2024/08/28/business/lego-bricks-renewable-plastic/index.html,Other
49,Dollar General’s stock is cratering. Here’s what it says about the economy,"Low-income consumers feeling a pinch in the economy are leading to lower-than-expected sales forDollar General, as the budget-friendly retailer slashed its sales and profit outlook for the year. Its shares sank nearly 30% in afternoon trading following the release of its earnings Thursday, in which the company said it expects same-store sales to grow between 1% to 1.6% — a drastic reduction from the 2% to 2.7% it had previously forecast for the year.",2024-08-29T13:10:11.432Z,CNN,https://www.cnn.com/2024/08/29/investing/dollar-general-second-quarter-2024-earnings/index.html,Finance
50,CrowdStrike puts its initial tab after causing a global computer outage at $60 million. It’s a fraction of the hit claimed by clients,"Cybersecurity firm CrowdStrike said that in the wake of a massive computer outage it caused last month it will give customers about $60 million in credits to remain with the company, possibly a mere fraction of the damages those clients say they incurred. The company also cut its guidance for full-year earnings by about $86 million to $109 million.",2024-08-28T10:30:19.624Z,CNN,https://www.cnn.com/2024/08/28/business/crowdstrike-outage-earnings/index.html,Other
51,Vintage polaroids of female prisoners paint an intimate picture of womanhood and identity,"What is perhaps most striking about the 32 photographs that make upJack Lueders-Booth’s new book, “Women Prisoner Polaroids,”is the intimacy that occupies each frame. Inmates wear their own clothes and pose in cells embellished with personal effects, much like any regular college dorm room; one woman clasps a biography of Mick Jagger, others are pictured with their arms wrapped around friends.",2024-06-12T07:30:06.440Z,CNN,https://www.cnn.com/2024/06/12/style/jack-lueders-booth-female-prisoners/index.html,Other
52,"Boy who accidentally broke 3,500-year-old jar welcomed back to museum","As her 4-year-old son perused the Israeli museum’s ancient artifacts, Anna Geller looked away for just a moment. Then a crash sounded, a rare3,500-year-old jar was brokenon the ground, and her son stood over it, aghast.",2024-09-02T04:18:32.675Z,CNN,https://www.cnn.com/2024/09/02/style/israel-haifa-museum-boy-broken-jar-returns-intl-hnk/index.html,Other
53,I’m 36 — when do I have to give up crop tops?,"As a pre-teen in Y2K, the (small) shadows of crop tops loomed large. They were an inescapable fixture of red carpets and pop culture: Keira Knightley paired them with impossibly low-slung pants and Aaliyah with Tommy Hilfiger boxer-briefs, while the cast of “Buffy” battled vampires in short sweaters and tanks.",2024-09-02T00:08:42.771Z,CNN,https://www.cnn.com/2024/09/01/style/crop-tops-middle-age-essay/index.html,Other
54,Grit and glamour: Behind-the-scenes docuseries asks what it takes to become a K-pop idol,"A new docuseries gives viewers an intimate look at the lives and struggles of K-pop stars, exploring the true cost of making it in South Korea’s cut-throat music industry. Apple TV+’s “K-Pop Idols” follows Jessi (Jessica Ho), a Korean American rapper forging a new path after leaving“Gangnam Style” artist Psy’srecord label; girl group Blackswan, on the quest for global stardom but set back by interpersonal conflicts; and rookie Cravity, a nine-member boy band trying to make a name for itself after debuting during theCovid-19 pandemic.",2024-08-30T02:01:13.489Z,CNN,https://www.cnn.com/2024/08/29/style/south-korea-k-pop-idols-tv-show-intl-hnk/index.html,Entertainment
55,‘I’ve lived almost a full lifetime in this one year’: Scottie Scheffler caps historic season with $25M Tour Championship win,"Scottie Scheffleris tired. After the year he’s had, can anyone really blame him? The world No.",2024-09-02T10:40:56.329Z,CNN,https://www.cnn.com/2024/09/02/sport/scottie-scheffler-tour-championship-2024-spt-intl/index.html,Other
56,"No. 23 USC scores touchdown in final seconds to earn big win over No. 13 LSU, causing outburst from Tigers coach Brian Kelly",The No. 23 USC Trojans scored atouchdownwith just eight seconds remaining to earn a statement 27-20 win over the No.,2024-09-02T10:17:45.382Z,CNN,https://www.cnn.com/2024/09/02/sport/usc-lsu-vegas-kickoff-classic-football-spt-intl/index.html,Other
57,Ferrari’s Charles Leclerc takes thrilling surprise win at Italian Grand Prix,"Ferrari’sCharles Leclercheld on to take a thrillingGrand Prixwin at his team’s home race in Monza, Italy, somehow shepherding his increasingly battered and tired tires to the checkered flag ahead of a marauding Oscar Piastri. Piastri had led for much of the race after overtaking his McLaren teammate and polesitter Lando Norris on the first chicane but opted for a two-stop strategy, wary of his tires degrading too much.",2024-09-01T15:38:37.813Z,CNN,https://www.cnn.com/2024/09/01/sport/charles-leclerc-ferrari-italian-grand-prix-spt-intl/index.html,Other
58,Champion eater Joey Chestnut talks to CNN about his superstar showdown against Takeru Kobayashi,"Being the world’s most prodigious eater wasn’t quite the life or the career that Joey Chestnut had planned for himself when he was studying engineering and construction management at San Jose University, but a lobster-eating contest changed everything. He already had a reputation for being the fastest around his family-of-eight dinner table and in his college dorms too, but he toldCNN Sportthat it was a different story when a competitive element was introduced.",2024-09-01T11:00:19.648Z,CNN,https://www.cnn.com/2024/09/01/sport/joey-chestnut-takeru-kobayashi-hot-dog-eating-spt/index.html,Education
